,Select City
ABR,Abhoar
ABU,Abu Dhabi
ZVG6,Achikkanam
ADA,Adalaj
ADM,Adaman
AGA,Agartala
AMD,Ahmedabad
AHN,Ahmednagar
AJM,Ajman
AMR,Ajmer
AKH,Akhnoor
AKO,Akola
AAN,Al Ain
ZVK74,Alandur
ALP,Alapuzha
ABG,Alibag
ALG,Aligarh
ALI,Alipore
ARJ,Alirajpur
AHD,Allahabad
ALY,Allepey
ALM,Almora
ZVF8,Alpattakulambu
ALV,Aluva
ALW,Alwar
AMP,Amalapuram
AMV,Amaravathi
AMB,Ambala
ABL,Ambalore
ZVC0,Ambarnath
ZVK58,Ambattur
ABH,Ambernath
ABK,Ambikapur
ZVK85,Ambur
AME,Ames
ZVJ94,Amirtstar
AML,Amli
APH,Amphur Muang
AMI,Amreli
AM,Amristar
ZUY2,Amritsar
AMH,Amroha
AKP,Anakapalle
ANA,Anand
ANN,Anandapur
ZVI78,Anantapur
ATH,Ananthapur
ANC,Anchal
ADH,Andheri
ZVE8,Andhra Pradesh
ANE,Anekal
ANK,Angamally
ANG,Angul
ANJ,Anjora
AKR,Ankaleshwar
ZVJ04,Ankannagudem
AK,Ankola
ANU,Anuppur
ADE,Areacode
AZA,Arizona
ASAN,Asansol
AKN,Ashok Nagar
ASD,Assandh
ASN,Assansol
ATI,Athani
ATL,Atlanda
ZUP0,Atmakuru
ATG,Attingal
ZVI71,Attipalli
ARA,Auraiya
AUR,Aurangabad
AURB,Aurangabad(Bihar)
ZVK63,Avadi
AZD,Azadpur
AZM,Azamgarh
BBA,Babha
BAB,Babua
BAD,Badaun
BDD,Baddi
BEP,Badlapur
BVL,Badvel
BGL,Bagalkot
BRE,Baghapurane
BPT,Baghpet
BHR,Bahadurgarh
BAH,Bahraich
BKP,Baikanthpur
BAK,Bakerwala
BLG,Balaghat
ZVJ13,Balanagar
BSR,Balasore
BGR,Ballabgarh
ZVC2,Ballary
BIA,Ballia
BLD,Balod
BABA,Baloda Bazar
BLA,Balotra
BLR,Balrampur
BALL,Balur
BAM,Bamnia
BAL,Banarpal
BNA,Banaskantha
BANA,Banda
BDP,Bandipur
BGA,Banga
BLRU,Bangalore
ZVJ79,Bangalore East
ZVK12,Bangalore Urban
BNG,Bangalore(D)
ZVF3,Bangalroe
BRP,Bangarpet
BANG,Bangkok
ZUV3,Banglore
ZUJ62,Banka
BAN,Bankura
ZUR3,Banmore
BSA,Banswara
BWL,Bantwal
BARA,Barabanki
ZVB6,Baramati
BML,Baramulla
BAA,Barasat
BBL,Barbil
BDM,Barddhaman
ZVJ82,Bardez
ZUU9,Bardhman
BD,Bardoli
ZVJ69,Bareilly
BAG,Bargarh
ZUL1,Bargawan
BRL,Barielly
BAR,Baripada
BMR,Barmer
BNL,Barnala
BRD,Baroda
ZUT8,Barotiwala
BRW,Barwani
BKN,Basavakalyan
ZUM7,Bashettihalli
BPS,Basi Pathana
BT,Basti
BNT,Batinda
BAW,Bawal
ZUN0,Bawana
BAZ,Bazpur
BDI,Bedidi
BED,Beed
BGV,Begoval
BSI,Begusarai
BEG,Belagavi
BEL,Belgaum
BLUM,Belgaum.
BL,Bellary
BOD,Belsonda
ZVJ30,Belur
BEM,Bematara
ZVI74,Bengaluru
BER,Beragora
BMP,Berhampur
BTL,Betul
BHO,Bhadohi
BDK,Bhadrak
BDV,Bhadravathi
BDV1,Bhadravathii
ZUL4,Bhadravati
ZUI4,Bhagabatipur
BGP,Bhagalpur
BHS,Bhainsori
BDR,Bhandara
ZUR4,Bhandup
ZVJ24,Bhanpurm
BRM,Bharamati
BTP,Bharatpur
BCH,Bharuch
BWI,Bharwani
ZVJ40,Bhaskarnagar
BKL,Bhatkal
BNV,Bhavnagar
BHA,Bhawanigarh
BHW,Bhawanipatna
BHY,Bhayander
BHB,Bhilad
BHI,Bhilai
ZVK01,Bhilai Durg
BHL,Bhilai.
ZVB8,Bhilal
BWR,Bhilwara
BMV,Bhimavaram
BHN,Bhindran
BIW,Bhiwadi
BWD,Bhiwandi
BWN,Bhiwani
BHP,Bhopal
BS,Bhosari
ZVJ80,Bhubaneshwar
ZVF0,Bhubaneswar
BDL,Bhudlada
BHJ,Bhuj
BV,Bhuvaneshwar
BI,Bidar
BJP,Bijapur
BIJ,Bijnore
BIK,Bikaner
BLI,Bilaspur
BSP,Bilaspur(C)
BSH,Bilaspur(H.P)
BIM,Bilimora
BIG,Binaguri
ZVI5,Binanipuram
ZVD1,Birmingham
BIS,Bistpur
ZVJ37,Bochu Peta
ZUK9,Bodwad
BKR,Bokaro
BON,Bongaigaon
ZVH1,Botad
BRA,Brea
ZVD8,Brillion
BDN,Budaun
BDG,Budgam
BLS,Bulandshahar
BHD,Buldhana
BPR,Bundi
BDW,Burdwan
BRG,Burgarh
BP,Burhanpur
ZUO0,Byadgi
CA,Ca
CAL,Calicut
CF,California
CAN,Cannore
CARM,Carmi
CS,Carol Stream
ZVI92,Central Delhi
CGO,Chachoengsao
ZVJ83,Chakgaria
CHAK,Chakkan
ZVI88,Chakkapalli
ZVJ41,Chala
CKD,Chalakudy
CHL,Chalisgaon
CHR,Chamarajanagr
CML,Chamoli
CMP,Champa
CHA,Chamu
ZUN2,Chandapura
ZVH2,Chandauli
CDR,Chandrapur
CGY,Changanachery
CDI,Charki Dadri
CHS,"Chas, Bokaro"
CPR,Chatarpur
CTN,Chathanoor
ZVJ07,Chatrai
ZVI84,Chattarpur
CMR,Chembur
ZVK69,Chengalpatthu
CNG,Chengannur
ZVK52,Chennai
CPN,Chennapatna
CTA,Cherthala
ZVJ91,Chickaballapur
CKR,Chickballapur
ZVJ88,Chickkballapur
CHK,Chickmagalore
ZVJ12,Chikamberpur Ghaziabad
ZUP6,Chikkaballapur
CKP,Chilakaluripet
ZVI79,Chillaboyinapalli
CNV,Chindwara
ZVI3,Chintalapudi
CNI,Chintamani
CHP,Chiplum
CTR,Chitoor
CD,Chitradurga
CK,Chitrakoot
ZUX4,Chittaurgarh
ZVI94,Chittoor
CTG,Chittorgarh
CDL,Choondal
CHOD,Chopda
CHU,Churu
CLN,Clifton
CHN,Cochin
ZVK53,Coimbatore
CBH,Coochbihar
BTA,"Cookeville,Tn"
ZVK54,Cuddalore
CDP,Cuddapah
ZVJ35,Cuttack
CUT,Cuttak
DBL,Dabhel
ZVG0,Dabhoi
DNH,Dadra And Nagar Haveli
DAJ,Daejeeling
DAH,Dahang
DHD,Dahod
DKA,Dakshina
DSA,Dakshina Kannada
ZVJ78,Dakshine Kannada
DAL,Dallas
DLG,Daltonganj
DAM,Daman
DMI,Damdari
DMH,Damoh
DAN,Dandeli
DDW,Dandewara
DAG,Dangs
DGN,Danguni
DAA,Dappar
DBG,Darbhanga
ZVE1,Darjeeling
DTI,Datia
DAU,Dausa
DVN,Davanagere
ZVF2,Davangere
DEH,Dehradun
DRA,Deira
ZUU8,Delhi
DEG,Deoghar
DEO,Deoria
DEP,Depalpur
DER,Deradassi
ZVE9,Devadurga
DW,Dewas
DBR,Dhabra
DBW,Dhabwalli
ZUK7,Dhamnod
DHA,Dhamtari
DBD,Dhanbad
DD,Dhandhuka
DDA,Dhangadhra
DVM,Dhanuvachapuram
DHR,Dhar
DHG,Dharamgarh
DHB,Dharbanga
ZVI83,Dharmajigudem
DMS,Dharmashala
DRU,Dharuhera
DAR,Dharwad
DWR,Dharwar
DJP,Dheerajpur
DNL,Dhenkanal
DLR,Dholpur
DHO,Dhoraji
DUL,Dhule
DHU,Dhuri
DIG,Digboi
DIM,Dimapur
DIA,Dinajpore
ZVK70,Dindigul
DIJ,Dinjan
DIP,Diphu
ZVJ71,Dist Ahmedabad
DIS,Dist.Chandauli
ZVI93,Dodballapur
ZUM1,Doddaballapura
DMV,Dombivilli
ZVA2,Dombivli
ZVJ06,Dommeru
ZUK6,Dongargaon
DRH,Doraha
DUB,Dubai
DHF,Duhuria
DUJ,Duliajan
DMK,Dumka
ZVJ21,Dundigal
DUN,Dungarpur
DRG,Durg
DPR,Durgapur
ZUU4,Dwarka
DMW,Distt. Mewat
EASL,Easley
GDH,East Godavari
ZVI91,East Godavari Dist
EDP,Edappal
EDA,Edayar
EDEN,Eden Praire
ELR,Elluru
ZVI96,Eluru
ETA,Erattupeta
ENK,Ernakulam
ZVK75,Erode
ETV,Etawah
ETM,Ettamanoor
FLW,Fairlawn
FZD,Faizabad
FLD,Falodi
FRD,Faridabad
FKT,Faridkot
ZVJ96,Farridabad
FKP,Farukabad
FTP,Fatehabad
FSG,Fatehgarh Sahib
ZUY5,Fatehpur
FTR,Fathepur
FZK,Fazikot
FAZ,Fazilka
ZUU5,Firozabad
FRZ,Firozpur
FLO,Florida
FRB,Forbesganj
FWT,Fort Worth
ZVA5,Fortworth
FRM,Fremont
GUN,Funa
GB,Gabbur
GAG,Gadag
GRP,Gadarpur
GRR,Gadarwara
GDR,Gadchiroli
GG,Gaggal
ZVK10,Gagnapahad
ZUY8,Gainesville
GAJ,Gajraula
ZVJ28,Gandhi Nagar
GDM,Gandhidham
GN,Gandhinagar
GNR,Ganganagar
GAN,Gangavati
GGK,Gangtok
GJM,Ganjam
ZVJ14,Gannavaram
GAR,Garia
GRN,Gariyaband
USG,Garner Nc
ZVJ90,Gauribidanur
GAU,Gautam Nagar
GBN,Gautambudh Nagar
GY,Gaya
ZVI6,Gaziabad
ZVJ62,Ghatikopar (E) Mumbai
ZVK08,Ghatlodia
GZB,Ghaziabad
ZVI1,Giddaluru
GRD,Giridih
GOA,Goa
GOL,Goalpara
GOD,Godhra
GOK,Gokak
GLG,Golaghat
ZVJ84,Gomti Nagar
GDA,Gonda
GON,Gondia
GPG,Gopalganj
GP,Gopalpur
ZVK16,Gopavaram
GOP,Gopinathpur
GKR,Gorakhpur
GOR,Goregaon
ZVJ19,Governorpet
ZUP5,Gowribidanur
ZVJ85,Gr. Noida West
GNO,Greater Noida
GROVE,Grove City
GUV,Gudivada
ZVJ03,Gudlavalleru
GU,Gudur
GUDR,Gudur.
GJ,Gujarat
ZVJ46,Gulbaraga
GUL,Gulburga
GUU,Guna
GUT,Guntakal
GO,Guntur
ZVF5,Gurazala
GDS,Gurdaspur
GUR,Gurgaon
GURU,Gurugram
GYR,Guruvayoor
GWH,Guwahathi
ZVJ27,Guwahati
GWR,Gwalior
HAB,Habsiguda
ZVJ34,Hadapsar
ZVG2,Halageri
HAL,Haldwani
HLK,Halkoti
HLL,Halol
HMP,Hamirpur(H.P)
HPR,Hamirpur(U.P)
HAG,Hangal
HJP,Hanjipur
HAN,Hannamkonda
ZVI89,Hanuman Junction
